Prediction_Horizon,Future_Derate_Train_Rows,Future_Derate_Test_Rows,Test_Positive_Rate,ROC_AUC
12 hours,1085,489,0.003553004432173218,0.7929977325890126
1 day,1563,658,0.004780934389304658,0.7922297499713072
3 days,2493,1117,0.008115963089442709,0.8371854603344939
7 days,3871,2570,0.018673254377679284,0.7972460618454056
14 days,6054,5163,0.0375136234832522,0.7734946783898631
21 days,7725,6281,0.04563685243042941,0.806057038437514
